Antibody,Antigen,IC50,
VRC07-508-LS,CNE14,0.017,
VRC07-508-LS,CNE15,0.005,
VRC07-508-LS,CNE3,0.208,
VRC07-508-LS,CNE30,0.121,
VRC07-508-LS,CNE31,0.068,
VRC07-508-LS,CNE4,0.122,
VRC07-508-LS,CNE40,0.032,
VRC07-508-LS,CNE5,0.039,
VRC07-508-LS,CNE53,0.01,
VRC07-508-LS,CNE55,0.045,
VRC07-508-LS,CNE56,0.04,
VRC07-508-LS,CNE57,0.116,
VRC07-508-LS,CNE58,0.03,
VRC07-508-LS,CNE59,0.051,
VRC07-508-LS,CNE7,0.027,
VRC07-508-LS,DJ263_8,0.002,
VRC07-508-LS,DU123_06,0.609,
VRC07-508-LS,DU151_02,2.14,
VRC07-508-LS,DU156_12,0.005,
VRC07-508-LS,DU172_17,1.37,
VRC07-508-LS,DU422_1,>50,
VRC07-508-LS,H086_8,>50,
VRC07-508-LS,HT593_1,0.071,
VRC07-508-LS,HXB2,0.005,
VRC07-508-LS,JRCSF,0.054,
VRC07-508-LS,JRFL,0.001,
VRC07-508-LS,KER2008_12,0.181,
VRC07-508-LS,KER2018_11,0.197,
VRC07-508-LS,KNH1209_18,0.038,
VRC07-508-LS,M02138,0.134,
VRC07-508-LS,MB201_A1,0.118,
VRC07-508-LS,MB539_2B7,0.083,
VRC07-508-LS,MI369_A5,0.09,
VRC07-508-LS,MN_3,0.001,
VRC07-508-LS,MS208_A1,0.035,
VRC07-508-LS,MW965_26,0.005,
VRC07-508-LS,NKU3006_EC1,0.141,
VRC07-508-LS,PVO_4,0.069,
VRC07-508-LS,Q168_A2,0.03,
VRC07-508-LS,Q23_17,0.025,
VRC07-508-LS,Q259_17,0.009,
VRC07-508-LS,Q461_E2,0.084,
VRC07-508-LS,Q769_D22,0.007,
VRC07-508-LS,Q769_H5,0.013,
VRC07-508-LS,Q842_D12,0.004,
VRC07-508-LS,QH0515_1,0.715,
VRC07-508-LS,QH0692_42,0.378,
VRC07-508-LS,QH209_14M_A2,0.008,
VRC07-508-LS,R1166_C1,0.252,
VRC07-508-LS,R2184_C4,0.022,
VRC07-508-LS,R3265_C6,0.063,
VRC07-508-LS,REJO4541_67,0.008,
VRC07-508-LS,RHPA4259_7,0.007,
VRC07-508-LS,S018_18,0.005,
VRC07-508-LS,SC422_8,0.036,
VRC07-508-LS,SF162,0.023,
VRC07-508-LS,SS1196_1,0.048,
VRC07-508-LS,T250_4,47.4,
VRC07-508-LS,T251_18,0.238,
VRC07-508-LS,T253_11,0.04,
VRC07-508-LS,T255_34,0.039,
VRC07-508-LS,T257_31,0.23,
VRC07-508-LS,T266_60,0.237,
VRC07-508-LS,T278_50,>50,
VRC07-508-LS,T280_5,0.003,
VRC07-508-LS,T33_7,0.002,
VRC07-508-LS,TH966_8,0.019,
VRC07-508-LS,TH976_17,0.031,
VRC07-508-LS,THRO4156,0.996,
VRC07-508-LS,TRJO4551_58,0.045,
VRC07-508-LS,TRO_11,0.094,
VRC07-508-LS,TV1_29,>50,
VRC07-508-LS,TZA125_17,>50,
VRC07-508-LS,TZBD_02,0.003,
VRC07-508-LS,UG024_2,0.017,
VRC07-508-LS,UG037_8,0.016,
VRC07-508-LS,WITO4160_33,0.052,
VRC07-508-LS,X2088_C9,>50,
VRC07-508-LS,YU2,0.018,
VRC07-508-LS,ZA012_29,0.052,
VRC07-508-LS,ZM106_9,0.026,
VRC07-508-LS,ZM109_4,0.019,
VRC07-508-LS,ZM135_10A,0.077,
VRC07-508-LS,ZM176_66,0.002,
VRC07-508-LS,ZM197_7,0.127,
VRC07-508-LS,ZM214_15,0.202,
VRC07-508-LS,ZM215_8,0.029,
VRC07-508-LS,ZM233_6,0.114,
VRC07-508-LS,ZM249_1,0.021,
VRC07-508-LS,ZM53_12,0.123,
VRC07-508-LS,ZM55_28A,0.017,
VRC07-523-F54-LS.v3,0013095_2_11,0.016,
VRC07-523-F54-LS.v3,001428_2_42,0.002,
VRC07-523-F54-LS.v3,0077_V1_C16,0.041,
VRC07-523-F54-LS.v3,00836_2_5,0.005,
VRC07-523-F54-LS.v3,0260_V5_C36,0.03,
VRC07-523-F54-LS.v3,0330_V4_C3,0.01,
VRC07-523-F54-LS.v3,0439_V5_C1,0.034,
VRC07-523-F54-LS.v3,0815_V3_C3,0.006,
VRC07-523-F54-LS.v3,0921_V2_C14,0.035,
VRC07-523-F54-LS.v3,16055_2_3,0.011,
VRC07-523-F54-LS.v3,16845_2_22,0.179,
VRC07-523-F54-LS.v3,16936_2_21,0.004,
VRC07-523-F54-LS.v3,191821_E6_1,0.112,
VRC07-523-F54-LS.v3,231965_C1,0.099,
VRC07-523-F54-LS.v3,235_47,0.002,
VRC07-523-F54-LS.v3,242_14,0.019,
VRC07-523-F54-LS.v3,246_F3_C10_2,0.027,
VRC07-523-F54-LS.v3,247_23,0.094,
VRC07-523-F54-LS.v3,25710_2_43,0.055,
VRC07-523-F54-LS.v3,25711_2_4,0.046,
VRC07-523-F54-LS.v3,25925_2_22,0.027,
VRC07-523-F54-LS.v3,26191_2_48,0.017,
VRC07-523-F54-LS.v3,263_8,0.01,
VRC07-523-F54-LS.v3,269_12,0.037,
VRC07-523-F54-LS.v3,271_11,0.014,
VRC07-523-F54-LS.v3,286_36,0.047,
VRC07-523-F54-LS.v3,288_38,0.04,
VRC07-523-F54-LS.v3,3016_V5_C45,0.014,
VRC07-523-F54-LS.v3,3168_V4_C10,0.018,
VRC07-523-F54-LS.v3,3301_V1_C24,0.008,
VRC07-523-F54-LS.v3,3326_V4_C3,0.002,
VRC07-523-F54-LS.v3,3337_V2_C6,0.007,
VRC07-523-F54-LS.v3,3365_V2_C20,0.01,
VRC07-523-F54-LS.v3,3415_V1_C1,0.005,
VRC07-523-F54-LS.v3,3468_V1_C12,0.005,
VRC07-523-F54-LS.v3,3589_V1_C4,0.022,
VRC07-523-F54-LS.v3,3637_V5_C3,0.22,
VRC07-523-F54-LS.v3,3718_3_11,0.013,
VRC07-523-F54-LS.v3,3817_V2_C59,0.054,
VRC07-523-F54-LS.v3,3873_V1_C24,0.145,
VRC07-523-F54-LS.v3,3988_25,0.043,
VRC07-523-F54-LS.v3,398_F1_F6_20,0.014,
VRC07-523-F54-LS.v3,45_01DG5,0.002,
VRC07-523-F54-LS.v3,57128_VRC15,0.612,
VRC07-523-F54-LS.v3,5768_4,0.076,
VRC07-523-F54-LS.v3,6095_V1_C10,0.076,
VRC07-523-F54-LS.v3,6101_1,0.009,
VRC07-523-F54-LS.v3,620345_C1,>50,
VRC07-523-F54-LS.v3,6322_V4_C1,0.031,
VRC07-523-F54-LS.v3,6405_V4_C34,0.136,
VRC07-523-F54-LS.v3,6471_V1_C16,>50,
VRC07-523-F54-LS.v3,6535_3,0.075,
VRC07-523-F54-LS.v3,6540_V4_C1,>50,
VRC07-523-F54-LS.v3,6545_V4_C1,>50,
VRC07-523-F54-LS.v3,6631_V3_C10,0.04,
VRC07-523-F54-LS.v3,6644_V2_C33,0.028,
VRC07-523-F54-LS.v3,6785_V5_C14,0.025,
VRC07-523-F54-LS.v3,6838_V1_C35,0.026,
VRC07-523-F54-LS.v3,703010217_B6,0.016,
VRC07-523-F54-LS.v3,7165_18,0.411,
VRC07-523-F54-LS.v3,89_6,0.02,
VRC07-523-F54-LS.v3,928_28,0.039,
VRC07-523-F54-LS.v3,92BR025_9,0.02,
VRC07-523-F54-LS.v3,92RW020_2,0.016,
VRC07-523-F54-LS.v3,96ZM651_02,0.107,
VRC07-523-F54-LS.v3,A03349M1_VRC4A,0.231,
VRC07-523-F54-LS.v3,A07412M1_VRC12,0.041,
VRC07-523-F54-LS.v3,AC10_29,0.166,
VRC07-523-F54-LS.v3,ADA,0.034,
VRC07-523-F54-LS.v3,BAL_01,0.009,
VRC07-523-F54-LS.v3,BAL_26,0.004,
VRC07-523-F54-LS.v3,BB201_B42,0.019,
VRC07-523-F54-LS.v3,BB539_2B13,0.014,
VRC07-523-F54-LS.v3,BG1168_1,0.07,
VRC07-523-F54-LS.v3,BG505_W6M_C2,0.006,
VRC07-523-F54-LS.v3,BI369_9A,0.016,
VRC07-523-F54-LS.v3,BJOX002000_03_2,0.037,
VRC07-523-F54-LS.v3,BJOX009000_02_4,0.108,
VRC07-523-F54-LS.v3,BJOX010000_06_2,0.303,
VRC07-523-F54-LS.v3,BJOX025000_01_1,0.059,
VRC07-523-F54-LS.v3,BJOX028000_10_3,0.01,
VRC07-523-F54-LS.v3,BL01,>50,
VRC07-523-F54-LS.v3,BR07,0.256,
VRC07-523-F54-LS.v3,BS208_B1,0.004,
VRC07-523-F54-LS.v3,BX08_16,0.031,
VRC07-523-F54-LS.v3,C1080_C3,0.087,
VRC07-523-F54-LS.v3,C2101_C1,0.035,
VRC07-523-F54-LS.v3,C3347_C11,0.031,
VRC07-523-F54-LS.v3,C4118_9,0.03,
VRC07-523-F54-LS.v3,CAAN5342,0.232,
VRC07-523-F54-LS.v3,CAP210_E8,1.14,
VRC07-523-F54-LS.v3,CAP244_D3,0.026,
VRC07-523-F54-LS.v3,CAP256_SU,0.139,
VRC07-523-F54-LS.v3,CAP45_G3,0.223,
VRC07-523-F54-LS.v3,CE1176_A3,0.175,
VRC07-523-F54-LS.v3,CH038_12,0.016,
VRC07-523-F54-LS.v3,CH070_1,0.045,
VRC07-523-F54-LS.v3,CH117_4,0.013,
VRC07-523-F54-LS.v3,CH119_10,0.05,
VRC07-523-F54-LS.v3,CH181_12,0.024,
VRC07-523-F54-LS.v3,CM244_EC1,0.018,
VRC07-523-F54-LS.v3,CNE10,0.037,
VRC07-523-F54-LS.v3,CNE12,0.051,
VRC07-523-F54-LS.v3,CNE14,0.012,
VRC07-523-F54-LS.v3,CNE15,0.018,
VRC07-523-F54-LS.v3,CNE19,0.023,
VRC07-523-F54-LS.v3,CNE20,0.019,
VRC07-523-F54-LS.v3,CNE21,0.05,
VRC07-523-F54-LS.v3,CNE3,0.048,
VRC07-523-F54-LS.v3,CNE30,0.078,
VRC07-523-F54-LS.v3,CNE31,0.061,
VRC07-523-F54-LS.v3,CNE4,0.087,
VRC07-523-F54-LS.v3,CNE40,0.031,
VRC07-523-F54-LS.v3,CNE5,0.054,
VRC07-523-F54-LS.v3,CNE53,0.019,
VRC07-523-F54-LS.v3,CNE55,0.035,
VRC07-523-F54-LS.v3,CNE56,0.027,
VRC07-523-F54-LS.v3,CNE57,0.029,
VRC07-523-F54-LS.v3,CNE58,0.012,
VRC07-523-F54-LS.v3,CNE59,0.068,
VRC07-523-F54-LS.v3,CNE7,0.044,
VRC07-523-F54-LS.v3,CNE8,0.019,
VRC07-523-F54-LS.v3,DJ263_8,0.013,
VRC07-523-F54-LS.v3,DU123_06,0.091,
VRC07-523-F54-LS.v3,DU151_02,0.017,
VRC07-523-F54-LS.v3,DU156_12,0.01,
VRC07-523-F54-LS.v3,DU172_17,0.056,
VRC07-523-F54-LS.v3,DU422_1,0.199,
VRC07-523-F54-LS.v3,H086_8,>50,
VRC07-523-F54-LS.v3,HT593_1,0.042,
VRC07-523-F54-LS.v3,HXB2,0.015,
VRC07-523-F54-LS.v3,JRCSF,0.015,
VRC07-523-F54-LS.v3,JRFL,0.003,
VRC07-523-F54-LS.v3,KER2008_12,0.032,
VRC07-523-F54-LS.v3,KER2018_11,0.082,
VRC07-523-F54-LS.v3,KNH1209_18,0.022,
VRC07-523-F54-LS.v3,KO426_T78_10,0.071,
VRC07-523-F54-LS.v3,M02138,0.349,
VRC07-523-F54-LS.v3,MB201_A1,0.014,
VRC07-523-F54-LS.v3,MB539_2B7,0.02,
VRC07-523-F54-LS.v3,MI369_A5,0.035,
VRC07-523-F54-LS.v3,MN_3,0.001,
VRC07-523-F54-LS.v3,MS208_A1,0.022,
VRC07-523-F54-LS.v3,MW965_26,0.016,
VRC07-523-F54-LS.v3,NKU3006_EC1,0.027,
VRC07-523-F54-LS.v3,P0402_C2_11,0.022,
VRC07-523-F54-LS.v3,P1981_C5_3,0.062,
VRC07-523-F54-LS.v3,PVO_4,0.03,
VRC07-523-F54-LS.v3,Q168_A2,0.009,
VRC07-523-F54-LS.v3,Q23_17,0.008,
VRC07-523-F54-LS.v3,Q259_17,0.007,
VRC07-523-F54-LS.v3,Q461_E2,0.034,
VRC07-523-F54-LS.v3,Q769_D22,0.01,
VRC07-523-F54-LS.v3,Q769_H5,0.008,
VRC07-523-F54-LS.v3,Q842_D12,0.003,
VRC07-523-F54-LS.v3,QH0515_1,0.029,
VRC07-523-F54-LS.v3,QH0692_42,0.074,
VRC07-523-F54-LS.v3,QH209_14M_A2,0.011,
VRC07-523-F54-LS.v3,R1166_C1,0.037,
VRC07-523-F54-LS.v3,R2184_C4,0.011,
VRC07-523-F54-LS.v3,R3265_C6,0.063,
VRC07-523-F54-LS.v3,REJO4541_67,0.014,
VRC07-523-F54-LS.v3,RHPA4259_7,0.013,
VRC07-523-F54-LS.v3,S018_18,0.016,
VRC07-523-F54-LS.v3,SC422_8,0.01,
VRC07-523-F54-LS.v3,SF162,0.011,
VRC07-523-F54-LS.v3,SS1196_1,0.006,
VRC07-523-F54-LS.v3,T250_4,0.056,
VRC07-523-F54-LS.v3,T251_18,0.039,
VRC07-523-F54-LS.v3,T253_11,0.036,
VRC07-523-F54-LS.v3,T255_34,0.043,
VRC07-523-F54-LS.v3,T257_31,0.07,
VRC07-523-F54-LS.v3,T266_60,0.13,
VRC07-523-F54-LS.v3,T278_50,>50,
VRC07-523-F54-LS.v3,T280_5,0.006,
VRC07-523-F54-LS.v3,T33_7,0.003,
VRC07-523-F54-LS.v3,TH023_6,0.013,
VRC07-523-F54-LS.v3,TH966_8,0.103,
VRC07-523-F54-LS.v3,TH976_17,0.016,
VRC07-523-F54-LS.v3,THRO4156,1.36,
VRC07-523-F54-LS.v3,TRJO4551_58,0.018,
VRC07-523-F54-LS.v3,TRO_11,0.014,
VRC07-523-F54-LS.v3,TV1_29,0.104,
VRC07-523-F54-LS.v3,TZA125_17,0.244,
VRC07-523-F54-LS.v3,TZBD_02,0.007,
VRC07-523-F54-LS.v3,UG021_16,0.044,
VRC07-523-F54-LS.v3,UG024_2,0.067,
VRC07-523-F54-LS.v3,UG037_8,0.01,
VRC07-523-F54-LS.v3,WITO4160_33,0.011,
VRC07-523-F54-LS.v3,X1193_C1,0.013,
VRC07-523-F54-LS.v3,X1254_C3,0.019,
VRC07-523-F54-LS.v3,X1632_S2_B10,0.006,
VRC07-523-F54-LS.v3,X2088_C9,0.018,
VRC07-523-F54-LS.v3,X2131_C1_B5,0.031,
VRC07-523-F54-LS.v3,X2278_C2_B6,0.005,
VRC07-523-F54-LS.v3,YU2,0.009,
VRC07-523-F54-LS.v3,ZA012_29,0.012,
VRC07-523-F54-LS.v3,ZM106_9,0.013,
VRC07-523-F54-LS.v3,ZM109_4,0.009,
VRC07-523-F54-LS.v3,ZM135_10A,0.081,
VRC07-523-F54-LS.v3,ZM176_66,0.002,
VRC07-523-F54-LS.v3,ZM197_7,0.18,
VRC07-523-F54-LS.v3,ZM214_15,0.086,
VRC07-523-F54-LS.v3,ZM215_8,0.029,
VRC07-523-F54-LS.v3,ZM233_6,0.04,
VRC07-523-F54-LS.v3,ZM249_1,0.012,
VRC07-523-F54-LS.v3,ZM53_12,0.289,
VRC07-523-F54-LS.v3,ZM55_28A,0.017,
VRC07-523-LS,0013095_2_11,0.009,
VRC07-523-LS,0013095_2_11,0.009,
VRC07-523-LS,0013095_2_11,0.009,
VRC07-523-LS,0013095_2_11,0.0295,
VRC07-523-LS,001428_2_42,0.0003,
VRC07-523-LS,001428_2_42,0.0003,
VRC07-523-LS,001428_2_42,<.001,
VRC07-523-LS,001428_2_42,0.0065,
VRC07-523-LS,0041_V3_C18,0.058,
VRC07-523-LS,0041_V3_C18,0.058,
VRC07-523-LS,0077_V1_C16,0.049,
VRC07-523-LS,0077_V1_C16,0.045,
VRC07-523-LS,0077_V1_C16,0.045,
VRC07-523-LS,0077_V1_C16,0.045,
VRC07-523-LS,0077_V1_C16,0.049,
VRC07-523-LS,0077_V1_C16,0.128,
VRC07-523-LS,00836_2_5,0.0007,
VRC07-523-LS,00836_2_5,0.0007,
VRC07-523-LS,00836_2_5,0.001,
VRC07-523-LS,00836_2_5,0.0085,
VRC07-523-LS,0260_V5_C36,0.175,
VRC07-523-LS,0260_V5_C36,0.175,
VRC07-523-LS,0260_V5_C36,0.175,
VRC07-523-LS,0260_V5_C36,0.175,
VRC07-523-LS,0260_V5_C36,0.165,
VRC07-523-LS,0330_V4_C3,0.007,
VRC07-523-LS,0330_V4_C3,0.007,
VRC07-523-LS,0330_V4_C3,0.007,
VRC07-523-LS,0330_V4_C3,0.007,
VRC07-523-LS,0330_V4_C3,0.095,
VRC07-523-LS,0439_V5_C1,0.045,
VRC07-523-LS,0439_V5_C1,0.045,
VRC07-523-LS,0439_V5_C1,0.045,
VRC07-523-LS,0439_V5_C1,0.105,
VRC07-523-LS,0439_V5_C1,0.1375,
VRC07-523-LS,0815_V3_C3,0.001,
VRC07-523-LS,0815_V3_C3,0.001,
VRC07-523-LS,0815_V3_C3,0.001,
VRC07-523-LS,0815_V3_C3,0.0175,
VRC07-523-LS,0921_V2_C14,0.047,
VRC07-523-LS,0921_V2_C14,0.014,
VRC07-523-LS,0921_V2_C14,0.014,
VRC07-523-LS,0921_V2_C14,0.014,
VRC07-523-LS,0921_V2_C14,0.047,
VRC07-523-LS,0921_V2_C14,0.0725,
VRC07-523-LS,0933_V4_C4,0.554,
VRC07-523-LS,0933_V4_C4,0.554,
VRC07-523-LS,0984_V2_C2,0.282,
VRC07-523-LS,0984_V2_C2,0.282,
VRC07-523-LS,1107356_07,0.044,
VRC07-523-LS,1107356_07,0.044,
VRC07-523-LS,1143465_14,0.009,
VRC07-523-LS,1143465_14,0.009,
VRC07-523-LS,1170887_08,0.004,
VRC07-523-LS,1170887_08,0.004,
VRC07-523-LS,1245045,0.312,
VRC07-523-LS,1245045,0.312,
VRC07-523-LS,1394_C9G1,0.012,
VRC07-523-LS,1394_C9G1,0.012,
VRC07-523-LS,16055_2_3,0.003,
VRC07-523-LS,16055_2_3,0.003,
VRC07-523-LS,16055_2_3,0.003,
VRC07-523-LS,16055_2_3,0.033,
VRC07-523-LS,16845_2_22,0.383,
VRC07-523-LS,16845_2_22,0.383,
VRC07-523-LS,16845_2_22,0.383,
VRC07-523-LS,16845_2_22,0.7305,
VRC07-523-LS,16936_2_21,0.001,
VRC07-523-LS,16936_2_21,0.001,
VRC07-523-LS,16936_2_21,0.001,
VRC07-523-LS,16936_2_21,0.037,
VRC07-523-LS,1811_B3_23,0.111,
VRC07-523-LS,1811_B3_23,0.111,
VRC07-523-LS,18814602_H8_F3,0.005,
VRC07-523-LS,18814602_H8_F3,0.005,
VRC07-523-LS,190049,0.074,
VRC07-523-LS,191084_B7_19,0.01,
VRC07-523-LS,19157834_V1,0.032,
VRC07-523-LS,19157834_V1,0.032,
VRC07-523-LS,191647,0.021,
VRC07-523-LS,191727_F6,0.039,
VRC07-523-LS,191821_E6_1,0.03,
VRC07-523-LS,191821_E6_1,0.277,
VRC07-523-LS,191821_E6_1,0.04,
VRC07-523-LS,191821_E6_1,0.11,
VRC07-523-LS,191845_B11,0.292,
VRC07-523-LS,191859,1.232,
VRC07-523-LS,191882,0.064,
VRC07-523-LS,191955_A11,1.081,
VRC07-523-LS,19252094_A5_G2,0.109,
VRC07-523-LS,19252094_A5_G2,0.109,
VRC07-523-LS,19314479_A2_5,0.062,
VRC07-523-LS,19314479_A2_5,0.062,
VRC07-523-LS,19707346_E8_C6,0.074,
VRC07-523-LS,19707346_E8_C6,0.074,
VRC07-523-LS,19715820_A10_H2,0.273,
VRC07-523-LS,19715820_A10_H2,0.273,
VRC07-523-LS,20104663_E11_D2,0.628,
VRC07-523-LS,20104663_E11_D2,0.628,
VRC07-523-LS,20198102_E9_G1,0.035,
VRC07-523-LS,20198102_E9_G1,0.035,
VRC07-523-LS,20258279_V2,0.104,
VRC07-523-LS,20258279_V2,0.104,
VRC07-523-LS,20286961_C1_H8,0.113,
VRC07-523-LS,20286961_C1_H8,0.113,
VRC07-523-LS,20355851_20,0.169,
VRC07-523-LS,20355851_20,0.169,
VRC07-523-LS,20358510_01,0.012,
VRC07-523-LS,20358510_01,0.012,
VRC07-523-LS,20417927_07,>25,
VRC07-523-LS,20417927_07,>25,
VRC07-523-LS,20721190,0.428,
VRC07-523-LS,20721190,0.428,
VRC07-523-LS,20803520,0.105,
VRC07-523-LS,20803520,0.105,
VRC07-523-LS,20883229_C9_H6,0.024,
VRC07-523-LS,20883229_C9_H6,0.024,
VRC07-523-LS,20915593,0.075,
VRC07-523-LS,20915593,0.075,
VRC07-523-LS,20927783,>25,
VRC07-523-LS,20927783,>25,
VRC07-523-LS,20965238,0.083,
VRC07-523-LS,20965238,0.083,
VRC07-523-LS,21020_13,0.188,
VRC07-523-LS,21197826_V1,0.366,
VRC07-523-LS,21197826_V1,0.366,
VRC07-523-LS,21203310_G7_C3,1.055,
VRC07-523-LS,21203310_G7_C3,1.055,
VRC07-523-LS,21261106_C12_H2,1.187,
VRC07-523-LS,21261106_C12_H2,1.187,
VRC07-523-LS,21283649,0.027,
VRC07-523-LS,21283649,0.027,
VRC07-523-LS,21369737_G11_F2,0.046,
VRC07-523-LS,21369737_G11_F2,0.046,
VRC07-523-LS,21399975_E2_B3,0.115,
VRC07-523-LS,21399975_E2_B3,0.115,
VRC07-523-LS,21492713_B11_E3,0.021,
VRC07-523-LS,21492713_B11_E3,0.021,
VRC07-523-LS,21502011_F12_E2,0.605,
VRC07-523-LS,21502011_F12_E2,0.605,
VRC07-523-LS,21561324_D3_B5,0.019,
VRC07-523-LS,21561324_D3_B5,0.019,
VRC07-523-LS,231965_C1,0.014,
VRC07-523-LS,231965_C1,0.014,
VRC07-523-LS,231965_C1,0.014,
VRC07-523-LS,231965_C1,0.014,
VRC07-523-LS,231965_C1,0.0505,
VRC07-523-LS,231966_C2,0.028,
VRC07-523-LS,234_F1_16_57,1.352,
VRC07-523-LS,234_F1_16_57,1.352,
VRC07-523-LS,235080_3G7_REV,0.004,
VRC07-523-LS,235080_3G7_REV,0.004,
VRC07-523-LS,235_47,0.003,
VRC07-523-LS,235_47,0.003,
VRC07-523-LS,235_47,0.003,
VRC07-523-LS,235_47,0.0215,
VRC07-523-LS,242_14,0.136,
VRC07-523-LS,242_14,>50,
VRC07-523-LS,242_14,0.136,
VRC07-523-LS,242_14,0.246,
VRC07-523-LS,242_14,0.136,
VRC07-523-LS,242_14,0.2305,
VRC07-523-LS,246_F3_C10_2,0.118,
VRC07-523-LS,246_F3_C10_2,0.1325,
VRC07-523-LS,247_23,0.875,
VRC07-523-LS,247_23,0.875,
VRC07-523-LS,247_23,0.875,
VRC07-523-LS,247_23,3.105,
VRC07-523-LS,25710_2_43,0.111,
VRC07-523-LS,25710_2_43,0.111,
VRC07-523-LS,25710_2_43,0.111,
VRC07-523-LS,25710_2_43,0.192,
VRC07-523-LS,25711_2_4,0.078,
VRC07-523-LS,25711_2_4,0.078,
VRC07-523-LS,25711_2_4,0.078,
VRC07-523-LS,25711_2_4,0.1345,
VRC07-523-LS,25925_2_22,0.062,
VRC07-523-LS,25925_2_22,0.062,
VRC07-523-LS,25925_2_22,0.062,
VRC07-523-LS,25925_2_22,0.1035,
VRC07-523-LS,26191_2_48,0.046,
VRC07-523-LS,26191_2_48,0.046,
VRC07-523-LS,26191_2_48,0.046,
VRC07-523-LS,26191_2_48,0.0735,
VRC07-523-LS,263_8,0.023,
VRC07-523-LS,263_8,0.023,
VRC07-523-LS,263_8,0.023,
VRC07-523-LS,263_8,0.0565,
VRC07-523-LS,269_12,0.046,
VRC07-523-LS,269_12,0.046,
VRC07-523-LS,269_12,0.046,
VRC07-523-LS,269_12,0.076,
VRC07-523-LS,271_11,0.007,
VRC07-523-LS,271_11,0.007,
VRC07-523-LS,271_11,0.007,
VRC07-523-LS,271_11,0.024,
VRC07-523-LS,2759058_F10_B6,0.155,
VRC07-523-LS,2759058_F10_B6,0.155,
VRC07-523-LS,2768732_C5_16,0.198,
VRC07-523-LS,2768732_C5_16,0.198,
VRC07-523-LS,2833264,0.039,
VRC07-523-LS,2833264,0.039,
VRC07-523-LS,286_36,0.07,
VRC07-523-LS,286_36,0.07,
VRC07-523-LS,286_36,0.07,
VRC07-523-LS,286_36,0.1155,
VRC07-523-LS,2865_A11_12,0.113,
VRC07-523-LS,2865_A11_12,0.113,
VRC07-523-LS,2869751_A4_D3,0.078,
VRC07-523-LS,2869751_A4_D3,0.078,
VRC07-523-LS,288_38,0.263,
VRC07-523-LS,288_38,0.263,
VRC07-523-LS,288_38,0.263,
VRC07-523-LS,288_38,0.287,
VRC07-523-LS,2891391_A2_E1,0.048,
VRC07-523-LS,2891391_A2_E1,0.048,
VRC07-523-LS,2969249,0.222,
VRC07-523-LS,2969249,0.222,
VRC07-523-LS,3016_V5_C45,0.015,
VRC07-523-LS,3016_V5_C45,0.015,
VRC07-523-LS,3016_V5_C45,0.015,
VRC07-523-LS,3016_V5_C45,0.015,
VRC07-523-LS,3016_V5_C45,0.0565,
VRC07-523-LS,304_F2_1_11,0.019,
VRC07-523-LS,304_F2_1_11,0.019,
VRC07-523-LS,3168_V4_C10,0.044,
VRC07-523-LS,3168_V4_C10,0.03,
VRC07-523-LS,3168_V4_C10,0.03,
VRC07-523-LS,3168_V4_C10,0.03,
VRC07-523-LS,3168_V4_C10,0.044,
VRC07-523-LS,3168_V4_C10,0.0805,
VRC07-523-LS,3301_V1_C24,0.005,
VRC07-523-LS,3301_V1_C24,0.005,
VRC07-523-LS,3301_V1_C24,0.005,
VRC07-523-LS,3301_V1_C24,0.028,
VRC07-523-LS,3312_D6_2,0.035,
VRC07-523-LS,3312_D6_2,0.035,
VRC07-523-LS,3326_V4_C3,0.0008,
VRC07-523-LS,3326_V4_C3,0.0008,
VRC07-523-LS,3326_V4_C3,0.001,
VRC07-523-LS,3326_V4_C3,0.006,
VRC07-523-LS,3337_V2_C6,0.011,
VRC07-523-LS,3337_V2_C6,0.011,
VRC07-523-LS,3337_V2_C6,0.011,
VRC07-523-LS,3337_V2_C6,0.0355,
VRC07-523-LS,3365_V2_C20,0.004,
VRC07-523-LS,3365_V2_C20,0.004,
VRC07-523-LS,3365_V2_C20,0.004,
VRC07-523-LS,3365_V2_C20,0.0335,
VRC07-523-LS,3415_V1_C1,0.015,
VRC07-523-LS,3415_V1_C1,0.015,
VRC07-523-LS,3415_V1_C1,0.015,
VRC07-523-LS,3415_V1_C1,0.0495,
VRC07-523-LS,3426_V5_C17,0.067,
VRC07-523-LS,3426_V5_C17,0.067,
VRC07-523-LS,3468_V1_C12,0.006,
VRC07-523-LS,3468_V1_C12,0.006,
VRC07-523-LS,3468_V1_C12,0.006,
VRC07-523-LS,3468_V1_C12,0.0305,
VRC07-523-LS,346_F4_D2_12,0.04,
VRC07-523-LS,346_F4_D2_12,0.04,
VRC07-523-LS,3514597,0.054,
VRC07-523-LS,3514597,0.054,
VRC07-523-LS,3545883_G1_E1,0.111,
VRC07-523-LS,3545883_G1_E1,0.111,
VRC07-523-LS,3589_V1_C4,0.011,
VRC07-523-LS,3589_V1_C4,0.011,
VRC07-523-LS,3589_V1_C4,0.011,
VRC07-523-LS,3589_V1_C4,0.04,
VRC07-523-LS,3603_C11_13,0.048,
VRC07-523-LS,3603_C11_13,0.048,
VRC07-523-LS,3637_V5_C3,0.173,
VRC07-523-LS,3637_V5_C3,0.255,
VRC07-523-LS,3637_V5_C3,0.255,
VRC07-523-LS,3637_V5_C3,0.255,
VRC07-523-LS,3637_V5_C3,0.173,
VRC07-523-LS,3637_V5_C3,0.37,
